,Colorized,Mode,Augmented,MSS,Score,Accuracy,Characters,Errors,SpacesErrors,NonSpaceAccuracy,Source
120,False,bw,False,fr. 411,52-0.9321,85.9,5176,730,88,0.12403400309119011,logs/test-htr.log
121,False,bw,False,fr. 411,55-0.9315,87.0,5176,673,86,0.1134080370942813,logs/test-htr.log
122,False,bw,False,fr. 411,57-0.9318,86.24,5176,712,80,0.12210200927357033,logs/test-htr.log
123,False,bw,False,fr. 411,60-0.9317,86.77,5176,685,77,0.11746522411128284,logs/test-htr.log
124,False,bw,False,fr. 411,62-0.9316,86.75,5176,686,80,0.11707882534775889,logs/test-htr.log
125,False,bw,False,fr. 411,63-0.9325,87.04,5176,671,85,0.11321483771251932,logs/test-htr.log
126,False,bw,False,fr. 411,65-0.9324,86.5,5176,699,84,0.1188176197836167,logs/test-htr.log
127,False,bw,False,fr. 411,66-0.9331,86.86,5176,680,88,0.1143740340030912,logs/test-htr.log
128,False,bw,False,fr. 411,67-0.9325,86.98,5176,674,90,0.11282843894899536,logs/test-htr.log
129,False,bw,False,fr. 411,68-0.9335,86.42,5176,703,89,0.11862442040185471,logs/test-htr.log
130,False,bw,True,fr. 411,103-0.9447,88.93,5176,573,74,0.0964064914992272,logs/test-htr.log
131,False,bw,True,fr. 411,104-0.9447,89.14,5176,562,69,0.09524729520865534,logs/test-htr.log
132,False,bw,True,fr. 411,84-0.944,88.62,5176,589,71,0.10007727975270479,logs/test-htr.log
133,False,bw,True,fr. 411,90-0.944,89.12,5176,563,68,0.09563369397217929,logs/test-htr.log
134,False,bw,True,fr. 411,94-0.9446,89.03,5176,568,69,0.0964064914992272,logs/test-htr.log
135,False,bw,True,fr. 411,95-0.9451,89.32,5176,553,71,0.09312210200927357,logs/test-htr.log
136,False,bw,True,fr. 411,96-0.9457,89.53,5176,542,67,0.09176970633693972,logs/test-htr.log
137,False,bw,True,fr. 411,97-0.9448,88.89,5176,575,72,0.09717928902627511,logs/test-htr.log
138,False,bw,True,fr. 411,98-0.9441,88.97,5176,571,68,0.09717928902627511,logs/test-htr.log
139,False,bw,True,fr. 411,99-0.9441,89.24,5176,557,71,0.09389489953632148,logs/test-htr.log
140,False,nobw,False,fr. 411,66-0.9449,85.72,5176,739,84,0.12654559505409582,logs/test-htr.log
141,False,nobw,False,fr. 411,68-0.9455,85.68,5176,741,103,0.12326120556414219,logs/test-htr.log
142,False,nobw,False,fr. 411,74-0.9449,85.97,5176,726,89,0.12306800618238022,logs/test-htr.log
143,False,nobw,False,fr. 411,75-0.9451,85.36,5176,758,98,0.1275115919629057,logs/test-htr.log
144,False,nobw,False,fr. 411,80-0.9451,85.59,5176,746,91,0.12654559505409582,logs/test-htr.log
145,False,nobw,False,fr. 411,84-0.9454,84.7,5176,792,102,0.13330757341576507,logs/test-htr.log
146,False,nobw,False,fr. 411,85-0.9454,85.18,5176,767,102,0.12847758887171562,logs/test-htr.log
147,False,nobw,False,fr. 411,86-0.946,85.55,5176,748,91,0.12693199381761977,logs/test-htr.log
148,False,nobw,False,fr. 411,87-0.9455,85.51,5176,750,96,0.12635239567233386,logs/test-htr.log
149,False,nobw,False,fr. 411,88-0.9453,85.39,5176,756,101,0.12654559505409582,logs/test-htr.log
150,False,nobw,True,fr. 411,100-0.954,85.24,5176,764,92,0.12982998454404945,logs/test-htr.log
151,False,nobw,True,fr. 411,101-0.9538,85.39,5176,756,88,0.12905718701700156,logs/test-htr.log
152,False,nobw,True,fr. 411,82-0.954,85.26,5176,763,99,0.12828438948995363,logs/test-htr.log
153,False,nobw,True,fr. 411,87-0.9539,86.24,5176,712,98,0.11862442040185471,logs/test-htr.log
154,False,nobw,True,fr. 411,91-0.9538,85.24,5176,764,96,0.12905718701700156,logs/test-htr.log
155,False,nobw,True,fr. 411,92-0.9549,85.16,5176,768,90,0.13098918083462133,logs/test-htr.log
156,False,nobw,True,fr. 411,93-0.9549,86.3,5176,709,84,0.12074961360123648,logs/test-htr.log
157,False,nobw,True,fr. 411,96-0.954,85.88,5176,731,88,0.12422720247295209,logs/test-htr.log
158,False,nobw,True,fr. 411,97-0.9542,85.97,5176,726,87,0.12345440494590418,logs/test-htr.log
159,False,nobw,True,fr. 411,99-0.9537,85.57,5176,747,92,0.12654559505409582,logs/test-htr.log
160,False,bw,False,fr. 17229,52-0.9321,85.55,4490,649,181,0.10423162583518931,logs/test-htr.log
161,False,bw,False,fr. 17229,55-0.9315,85.84,4490,636,190,0.09933184855233854,logs/test-htr.log
162,False,bw,False,fr. 17229,57-0.9318,86.04,4490,627,191,0.09710467706013363,logs/test-htr.log
163,False,bw,False,fr. 17229,60-0.9317,86.57,4490,603,185,0.0930957683741648,logs/test-htr.log
164,False,bw,False,fr. 17229,62-0.9316,86.26,4490,617,173,0.09888641425389755,logs/test-htr.log
165,False,bw,False,fr. 17229,63-0.9325,85.84,4490,636,196,0.09799554565701558,logs/test-htr.log
166,False,bw,False,fr. 17229,65-0.9324,86.75,4490,595,179,0.09265033407572383,logs/test-htr.log
167,False,bw,False,fr. 17229,66-0.9331,86.5,4490,606,184,0.09398663697104677,logs/test-htr.log
168,False,bw,False,fr. 17229,67-0.9325,85.81,4490,637,193,0.09888641425389755,logs/test-htr.log
169,False,bw,False,fr. 17229,68-0.9335,86.17,4490,621,185,0.09710467706013363,logs/test-htr.log
170,False,bw,True,fr. 17229,103-0.9447,88.29,4490,526,176,0.0779510022271715,logs/test-htr.log
171,False,bw,True,fr. 17229,104-0.9447,88.89,4490,499,164,0.07461024498886415,logs/test-htr.log
172,False,bw,True,fr. 17229,84-0.944,87.55,4490,559,183,0.08374164810690424,logs/test-htr.log
173,False,bw,True,fr. 17229,90-0.944,87.8,4490,548,180,0.08195991091314031,logs/test-htr.log
174,False,bw,True,fr. 17229,94-0.9446,88.55,4490,514,175,0.0755011135857461,logs/test-htr.log
175,False,bw,True,fr. 17229,95-0.9451,88.42,4490,520,178,0.07616926503340757,logs/test-htr.log
176,False,bw,True,fr. 17229,96-0.9457,87.77,4490,549,182,0.08173719376391982,logs/test-htr.log
177,False,bw,True,fr. 17229,97-0.9448,87.88,4490,544,188,0.07928730512249443,logs/test-htr.log
178,False,bw,True,fr. 17229,98-0.9441,88.42,4490,520,169,0.07817371937639198,logs/test-htr.log
179,False,bw,True,fr. 17229,99-0.9441,88.31,4490,525,178,0.07728285077951003,logs/test-htr.log
180,False,nobw,False,fr. 17229,66-0.9449,85.32,4490,659,218,0.09821826280623608,logs/test-htr.log
181,False,nobw,False,fr. 17229,68-0.9455,85.28,4490,661,211,0.10022271714922049,logs/test-htr.log
182,False,nobw,False,fr. 17229,74-0.9449,85.23,4490,663,213,0.10022271714922049,logs/test-htr.log
183,False,nobw,False,fr. 17229,75-0.9451,85.19,4490,665,205,0.10244988864142539,logs/test-htr.log
184,False,nobw,False,fr. 17229,80-0.9451,84.9,4490,678,209,0.1044543429844098,logs/test-htr.log
185,False,nobw,False,fr. 17229,84-0.9454,84.34,4490,703,212,0.10935412026726057,logs/test-htr.log
186,False,nobw,False,fr. 17229,85-0.9454,84.99,4490,674,208,0.10378619153674833,logs/test-htr.log
187,False,nobw,False,fr. 17229,86-0.946,85.19,4490,665,210,0.10133630289532294,logs/test-htr.log
188,False,nobw,False,fr. 17229,87-0.9455,85.06,4490,671,198,0.10534521158129176,logs/test-htr.log
189,False,nobw,False,fr. 17229,88-0.9453,85.06,4490,671,215,0.10155902004454342,logs/test-htr.log
190,False,nobw,True,fr. 17229,100-0.954,86.37,4490,612,197,0.09242761692650334,logs/test-htr.log
191,False,nobw,True,fr. 17229,101-0.9538,87.08,4490,580,179,0.08930957683741649,logs/test-htr.log
192,False,nobw,True,fr. 17229,82-0.954,86.95,4490,586,181,0.09020044543429843,logs/test-htr.log
193,False,nobw,True,fr. 17229,87-0.9539,87.44,4490,564,187,0.08396436525612472,logs/test-htr.log
194,False,nobw,True,fr. 17229,91-0.9538,87.46,4490,563,179,0.08552338530066815,logs/test-htr.log
195,False,nobw,True,fr. 17229,92-0.9549,86.53,4490,605,186,0.0933184855233853,logs/test-htr.log
196,False,nobw,True,fr. 17229,93-0.9549,87.55,4490,559,176,0.08530066815144766,logs/test-htr.log
197,False,nobw,True,fr. 17229,96-0.954,87.77,4490,549,179,0.08240534521158129,logs/test-htr.log
198,False,nobw,True,fr. 17229,97-0.9542,87.51,4490,561,177,0.08552338530066815,logs/test-htr.log
199,False,nobw,True,fr. 17229,99-0.9537,87.51,4490,561,174,0.08619153674832962,logs/test-htr.log
200,False,bw,False,fr. 13496,52-0.9321,88.01,4736,568,122,0.0941722972972973,logs/test-htr.log
201,False,bw,False,fr. 13496,55-0.9315,88.07,4736,565,118,0.09438344594594594,logs/test-htr.log
202,False,bw,False,fr. 13496,57-0.9318,88.28,4736,555,121,0.09163851351351351,logs/test-htr.log
203,False,bw,False,fr. 13496,60-0.9317,88.77,4736,532,114,0.08826013513513513,logs/test-htr.log
204,False,bw,False,fr. 13496,62-0.9316,88.58,4736,541,112,0.09058277027027027,logs/test-htr.log
205,False,bw,False,fr. 13496,63-0.9325,88.39,4736,550,127,0.08931587837837837,logs/test-htr.log
206,False,bw,False,fr. 13496,65-0.9324,88.51,4736,544,115,0.09058277027027027,logs/test-htr.log
207,False,bw,False,fr. 13496,66-0.9331,88.37,4736,551,131,0.08868243243243243,logs/test-htr.log
208,False,bw,False,fr. 13496,67-0.9325,88.24,4736,557,124,0.09142736486486487,logs/test-htr.log
209,False,bw,False,fr. 13496,68-0.9335,88.32,4736,553,123,0.09079391891891891,logs/test-htr.log
210,False,bw,True,fr. 13496,103-0.9447,90.79,4736,436,101,0.0707347972972973,logs/test-htr.log
211,False,bw,True,fr. 13496,104-0.9447,90.92,4736,430,103,0.06904560810810811,logs/test-htr.log
212,False,bw,True,fr. 13496,84-0.944,90.08,4736,470,102,0.0777027027027027,logs/test-htr.log
