Contributeur,Nom MSS,ID,Manifest,Source,start,end,type,Siecle,Langue,Genre,Downloaded
JB,,Boulogne-sur-Mer/B621606201_MS0192,Manifest ????,bvmm,5,342,medieval,,fro,epic,
JB,,fmb-cb-0001,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0001/manifest.json,e-codices,1,133,medieval,,fro,roman,
JB,,fmb-cb-0011,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0011/manifest.json,e-codices,1,80,medieval,,fro,epic,
JB,,fmb-cb-0015,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0015/manifest.json,e-codices,1,117,medieval,,frm,epic in prose,
JB,,fmb-cb-0018,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0018/manifest.json,e-codices,1,268,medieval,,fro,roman antique,
JB,,fmb-cb-0067,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0067/manifest.json,e-codices,1,84,medieval,,fro,epic,
JB,,fmb-cb-0168,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0168/manifest.json,e-codices,1,222,medieval,,fro,epic,
JB,,ubb-F-IV-0044,https://www.e-codices.unifr.ch/metadata/iiif/ubb-F-IV-0044/manifest.json,e-codices,1,72,medieval,,fro,epic,
JB,,bge-fr0072,https://www.e-codices.unifr.ch/metadata/iiif/bge-fr0072/manifest.json,e-codices,1,252,medieval,15,frm,histoire (ancienne jusqu'à César),
JB,,bge-fr0076,https://www.e-codices.unifr.ch/metadata/iiif/bge-fr0076/manifest.json,e-codices,1,264,medieval,,fro,histoire,
JB,,bge-fr0182,https://www.e-codices.unifr.ch/metadata/iiif/bge-fr0182/manifest.json,e-codices,1,232,medieval,1480-1520,,Digulleville,
JB,,bcul-M0454,https://www.e-codices.unifr.ch/metadata/iiif/bcul-M0454/manifest.json,e-codices,1,123,medieval,,fro,allegorie,
JB,,aev-Mslitt-0010-1,https://www.e-codices.unifr.ch/metadata/iiif/aev-Mslitt-0010-1/manifest.json,e-codices,1,1,medieval,,fro,epic,
TC,Cod. Bodmer 129,fmb-cb-0129,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0129/manifest.json,e-codices,1,12,medieval,12,"lat,fro",poetry,
